#mbytes,method,test_case,backend,time,mb_per_sec
0.954, basic_parse, long_list, python, 1.331, 0.716
0.954, basic_parse, long_list, yajl2, 0.978, 0.975
0.954, basic_parse, long_list, yajl2_c, 0.077, 12.324
10.278, basic_parse, big_int_object, python, 2.780, 3.697
10.278, basic_parse, big_int_object, yajl2, 1.845, 5.571
10.278, basic_parse, big_int_object, yajl2_c, 0.150, 68.385
11.232, basic_parse, big_decimal_object, python, 2.969, 3.783
11.232, basic_parse, big_decimal_object, yajl2, 1.851, 6.069
11.232, basic_parse, big_decimal_object, yajl2_c, 0.243, 46.182
9.431, basic_parse, big_null_object, python, 2.537, 3.718
9.431, basic_parse, big_null_object, yajl2, 0.955, 9.873
9.431, basic_parse, big_null_object, yajl2_c, 0.105, 89.630
9.669, basic_parse, big_bool_object, python, 2.454, 3.940
9.669, basic_parse, big_bool_object, yajl2, 1.063, 9.094
9.669, basic_parse, big_bool_object, yajl2_c, 0.117, 82.632
14.093, basic_parse, big_str_object, python, 2.830, 4.980
14.093, basic_parse, big_str_object, yajl2, 1.484, 9.498
14.093, basic_parse, big_str_object, yajl2_c, 0.124, 113.655
40.425, basic_parse, big_longstr_object, python, 2.972, 13.600
40.425, basic_parse, big_longstr_object, yajl2, 1.487, 27.195
40.425, basic_parse, big_longstr_object, yajl2_c, 0.128, 315.975
96.321, basic_parse, object_with_10_keys, python, 28.759, 3.349
96.321, basic_parse, object_with_10_keys, yajl2, 14.782, 6.516
96.321, basic_parse, object_with_10_keys, yajl2_c, 1.344, 71.645
1.907, basic_parse, empty_lists, python, 1.389, 1.373
1.907, basic_parse, empty_lists, yajl2, 0.404, 4.716
1.907, basic_parse, empty_lists, yajl2_c, 0.092, 20.730
1.907, basic_parse, empty_objects, python, 1.401, 1.362
1.907, basic_parse, empty_objects, yajl2, 0.398, 4.791
1.907, basic_parse, empty_objects, yajl2_c, 0.090, 21.287
0.954, basic_parse, long_list, python, 1.277, 0.747
0.954, basic_parse, long_list, yajl2, 0.911, 1.047
0.954, basic_parse, long_list, yajl2_c, 0.077, 12.316
10.278, basic_parse, big_int_object, python, 2.704, 3.801
10.278, basic_parse, big_int_object, yajl2, 2.350, 4.374
10.278, basic_parse, big_int_object, yajl2_c, 0.147, 70.118
11.232, basic_parse, big_decimal_object, python, 2.881, 3.899
11.232, basic_parse, big_decimal_object, yajl2, 1.777, 6.319
11.232, basic_parse, big_decimal_object, yajl2_c, 0.253, 44.366
9.431, basic_parse, big_null_object, python, 2.496, 3.779
9.431, basic_parse, big_null_object, yajl2, 0.906, 10.409
9.431, basic_parse, big_null_object, yajl2_c, 0.106, 88.968
9.669, basic_parse, big_bool_object, python, 2.423, 3.990
9.669, basic_parse, big_bool_object, yajl2, 1.000, 9.671
9.669, basic_parse, big_bool_object, yajl2_c, 0.119, 81.382
14.093, basic_parse, big_str_object, python, 2.721, 5.179
14.093, basic_parse, big_str_object, yajl2, 1.416, 9.951
14.093, basic_parse, big_str_object, yajl2_c, 0.124, 113.303
40.425, basic_parse, big_longstr_object, python, 2.871, 14.078
40.425, basic_parse, big_longstr_object, yajl2, 1.449, 27.899
40.425, basic_parse, big_longstr_object, yajl2_c, 0.131, 308.726
96.321, basic_parse, object_with_10_keys, python, 27.844, 3.459
96.321, basic_parse, object_with_10_keys, yajl2, 14.668, 6.567
96.321, basic_parse, object_with_10_keys, yajl2_c, 1.356, 71.024
1.907, basic_parse, empty_lists, python, 1.401, 1.362
1.907, basic_parse, empty_lists, yajl2, 0.403, 4.727
1.907, basic_parse, empty_lists, yajl2_c, 0.097, 19.683
1.907, basic_parse, empty_objects, python, 1.412, 1.351
1.907, basic_parse, empty_objects, yajl2, 0.398, 4.787
1.907, basic_parse, empty_objects, yajl2_c, 0.089, 21.457
0.954, basic_parse, long_list, python, 1.277, 0.747
0.954, basic_parse, long_list, yajl2, 0.937, 1.017
0.954, basic_parse, long_list, yajl2_c, 0.079, 12.061
10.278, basic_parse, big_int_object, python, 2.651, 3.877
10.278, basic_parse, big_int_object, yajl2, 2.334, 4.404
10.278, basic_parse, big_int_object, yajl2_c, 0.147, 70.047
11.232, basic_parse, big_decimal_object, python, 2.849, 3.942
11.232, basic_parse, big_decimal_object, yajl2, 1.848, 6.079
11.232, basic_parse, big_decimal_object, yajl2_c, 0.260, 43.123
9.431, basic_parse, big_null_object, python, 2.433, 3.876
9.431, basic_parse, big_null_object, yajl2, 0.921, 10.238
9.431, basic_parse, big_null_object, yajl2_c, 0.106, 88.759
9.669, basic_parse, big_bool_object, python, 2.358, 4.101
9.669, basic_parse, big_bool_object, yajl2, 1.015, 9.525
9.669, basic_parse, big_bool_object, yajl2_c, 0.118, 82.069
14.093, basic_parse, big_str_object, python, 2.645, 5.329
14.093, basic_parse, big_str_object, yajl2, 1.427, 9.879
14.093, basic_parse, big_str_object, yajl2_c, 0.124, 113.494
40.425, basic_parse, big_longstr_object, python, 2.805, 14.414
40.425, basic_parse, big_longstr_object, yajl2, 1.467, 27.557
40.425, basic_parse, big_longstr_object, yajl2_c, 0.128, 316.739
96.321, basic_parse, object_with_10_keys, python, 27.124, 3.551
96.321, basic_parse, object_with_10_keys, yajl2, 14.835, 6.493
96.321, basic_parse, object_with_10_keys, yajl2_c, 1.368, 70.414
1.907, basic_parse, empty_lists, python, 1.370, 1.392
1.907, basic_parse, empty_lists, yajl2, 0.401, 4.754
1.907, basic_parse, empty_lists, yajl2_c, 0.097, 19.602
1.907, basic_parse, empty_objects, python, 1.380, 1.382
1.907, basic_parse, empty_objects, yajl2, 0.398, 4.791
1.907, basic_parse, empty_objects, yajl2_c, 0.101, 18.952
0.954, parse, long_list, python, 1.415, 0.674
0.954, parse, long_list, yajl2, 1.126, 0.847
0.954, parse, long_list, yajl2_c, 0.087, 10.925
10.278, parse, big_int_object, python, 2.947, 3.488
10.278, parse, big_int_object, yajl2, 2.784, 3.692
10.278, parse, big_int_object, yajl2_c, 0.176, 58.336
11.232, parse, big_decimal_object, python, 3.142, 3.575
11.232, parse, big_decimal_object, yajl2, 2.318, 4.845
11.232, parse, big_decimal_object, yajl2_c, 0.278, 40.389
9.431, parse, big_null_object, python, 2.722, 3.464
9.431, parse, big_null_object, yajl2, 1.248, 7.557
9.431, parse, big_null_object, yajl2_c, 0.135, 69.694
9.669, parse, big_bool_object, python, 2.663, 3.631
9.669, parse, big_bool_object, yajl2, 1.349, 7.167
9.669, parse, big_bool_object, yajl2_c, 0.145, 66.678
14.093, parse, big_str_object, python, 2.932, 4.806
14.093, parse, big_str_object, yajl2, 1.824, 7.725
14.093, parse, big_str_object, yajl2_c, 0.156, 90.305
