#mbytes,method,test_case,backend,time,mb_per_sec
0.954, basic_parse, long_list, python, 1.216, 0.784
0.954, basic_parse, long_list, yajl2, 0.934, 1.022
0.954, basic_parse, long_list, yajl2_c, 0.077, 12.331
10.278, basic_parse, big_int_object, python, 2.602, 3.950
10.278, basic_parse, big_int_object, yajl2, 2.387, 4.307
10.278, basic_parse, big_int_object, yajl2_c, 0.152, 67.801
11.232, basic_parse, big_decimal_object, python, 2.700, 4.161
11.232, basic_parse, big_decimal_object, yajl2, 1.841, 6.100
11.232, basic_parse, big_decimal_object, yajl2_c, 0.253, 44.418
9.431, basic_parse, big_null_object, python, 2.335, 4.038
9.431, basic_parse, big_null_object, yajl2, 0.929, 10.149
9.431, basic_parse, big_null_object, yajl2_c, 0.113, 83.529
9.669, basic_parse, big_bool_object, python, 2.317, 4.174
9.669, basic_parse, big_bool_object, yajl2, 1.020, 9.483
9.669, basic_parse, big_bool_object, yajl2_c, 0.122, 79.066
14.093, basic_parse, big_str_object, python, 2.607, 5.405
14.093, basic_parse, big_str_object, yajl2, 1.438, 9.798
14.093, basic_parse, big_str_object, yajl2_c, 0.130, 108.284
40.425, basic_parse, big_longstr_object, python, 2.730, 14.808
40.425, basic_parse, big_longstr_object, yajl2, 1.473, 27.440
40.425, basic_parse, big_longstr_object, yajl2_c, 0.134, 301.499
96.321, basic_parse, object_with_10_keys, python, 28.131, 3.424
96.321, basic_parse, object_with_10_keys, yajl2, 15.014, 6.415
96.321, basic_parse, object_with_10_keys, yajl2_c, 1.434, 67.175
1.907, basic_parse, empty_lists, python, 1.486, 1.284
1.907, basic_parse, empty_lists, yajl2, 0.424, 4.498
1.907, basic_parse, empty_lists, yajl2_c, 0.095, 20.125
1.907, basic_parse, empty_objects, python, 1.489, 1.281
1.907, basic_parse, empty_objects, yajl2, 0.422, 4.519
1.907, basic_parse, empty_objects, yajl2_c, 0.096, 19.852
0.954, basic_parse, long_list, python, 1.218, 0.783
0.954, basic_parse, long_list, yajl2, 0.977, 0.976
0.954, basic_parse, long_list, yajl2_c, 0.078, 12.163
10.278, basic_parse, big_int_object, python, 2.621, 3.921
10.278, basic_parse, big_int_object, yajl2, 2.442, 4.208
10.278, basic_parse, big_int_object, yajl2_c, 0.176, 58.551
11.232, basic_parse, big_decimal_object, python, 2.839, 3.957
11.232, basic_parse, big_decimal_object, yajl2, 1.925, 5.834
11.232, basic_parse, big_decimal_object, yajl2_c, 0.255, 44.048
9.431, basic_parse, big_null_object, python, 2.386, 3.952
9.431, basic_parse, big_null_object, yajl2, 0.955, 9.879
9.431, basic_parse, big_null_object, yajl2_c, 0.114, 83.068
9.669, basic_parse, big_bool_object, python, 2.339, 4.134
9.669, basic_parse, big_bool_object, yajl2, 1.071, 9.025
9.669, basic_parse, big_bool_object, yajl2_c, 0.122, 79.234
14.093, basic_parse, big_str_object, python, 2.672, 5.274
14.093, basic_parse, big_str_object, yajl2, 1.506, 9.356
14.093, basic_parse, big_str_object, yajl2_c, 0.132, 107.023
40.425, basic_parse, big_longstr_object, python, 2.800, 14.435
40.425, basic_parse, big_longstr_object, yajl2, 1.529, 26.432
40.425, basic_parse, big_longstr_object, yajl2_c, 0.135, 298.699
96.321, basic_parse, object_with_10_keys, python, 29.161, 3.303
96.321, basic_parse, object_with_10_keys, yajl2, 15.523, 6.205
96.321, basic_parse, object_with_10_keys, yajl2_c, 1.428, 67.442
1.907, basic_parse, empty_lists, python, 1.490, 1.280
1.907, basic_parse, empty_lists, yajl2, 0.415, 4.599
1.907, basic_parse, empty_lists, yajl2_c, 0.095, 20.104
1.907, basic_parse, empty_objects, python, 1.469, 1.298
1.907, basic_parse, empty_objects, yajl2, 0.413, 4.618
1.907, basic_parse, empty_objects, yajl2_c, 0.095, 19.981
0.954, basic_parse, long_list, python, 1.222, 0.780
0.954, basic_parse, long_list, yajl2, 0.986, 0.967
0.954, basic_parse, long_list, yajl2_c, 0.078, 12.274
10.278, basic_parse, big_int_object, python, 2.587, 3.973
10.278, basic_parse, big_int_object, yajl2, 1.793, 5.734
10.278, basic_parse, big_int_object, yajl2_c, 0.156, 65.943
11.232, basic_parse, big_decimal_object, python, 2.726, 4.120
11.232, basic_parse, big_decimal_object, yajl2, 1.878, 5.979
11.232, basic_parse, big_decimal_object, yajl2_c, 0.256, 43.955
9.431, basic_parse, big_null_object, python, 2.333, 4.042
9.431, basic_parse, big_null_object, yajl2, 0.947, 9.963
9.431, basic_parse, big_null_object, yajl2_c, 0.122, 77.363
9.669, basic_parse, big_bool_object, python, 2.300, 4.204
9.669, basic_parse, big_bool_object, yajl2, 1.062, 9.105
9.669, basic_parse, big_bool_object, yajl2_c, 0.126, 76.706
14.093, basic_parse, big_str_object, python, 2.612, 5.395
14.093, basic_parse, big_str_object, yajl2, 1.479, 9.531
14.093, basic_parse, big_str_object, yajl2_c, 0.134, 104.899
40.425, basic_parse, big_longstr_object, python, 2.705, 14.947
40.425, basic_parse, big_longstr_object, yajl2, 1.506, 26.836
40.425, basic_parse, big_longstr_object, yajl2_c, 0.141, 286.686
96.321, basic_parse, object_with_10_keys, python, 28.038, 3.435
96.321, basic_parse, object_with_10_keys, yajl2, 15.295, 6.298
96.321, basic_parse, object_with_10_keys, yajl2_c, 1.461, 65.907
1.907, basic_parse, empty_lists, python, 1.480, 1.288
1.907, basic_parse, empty_lists, yajl2, 0.423, 4.513
1.907, basic_parse, empty_lists, yajl2_c, 0.097, 19.611
1.907, basic_parse, empty_objects, python, 1.493, 1.278
1.907, basic_parse, empty_objects, yajl2, 0.419, 4.554
1.907, basic_parse, empty_objects, yajl2_c, 0.095, 19.979
0.954, parse, long_list, python, 1.342, 0.711
0.954, parse, long_list, yajl2, 1.066, 0.895
0.954, parse, long_list, yajl2_c, 0.098, 9.752
10.278, parse, big_int_object, python, 2.881, 3.568
10.278, parse, big_int_object, yajl2, 2.015, 5.102
10.278, parse, big_int_object, yajl2_c, 0.204, 50.394
11.232, parse, big_decimal_object, python, 3.086, 3.640
11.232, parse, big_decimal_object, yajl2, 2.081, 5.398
11.232, parse, big_decimal_object, yajl2_c, 0.305, 36.789
9.431, parse, big_null_object, python, 2.661, 3.544
9.431, parse, big_null_object, yajl2, 1.193, 7.908
9.431, parse, big_null_object, yajl2_c, 0.161, 58.604
