x,nValue
BaseCube,sCube
DependentCube,sCubeDep
GroupName,sGroup
FileName,sFile
String1,sString1
String2,sString2
...Stringn,sStringN
CAMIDDisplayValue,sName
CAMID,sEle
PrevAttr,sAttrPrev
Type,sAttrType
attribute,sAttr
element,sEle
dimension,sDim
LangLocaleCode,sLocale
ElName,sEle
SaveChanges,nSave
string,sString
Cube,sCube
...en,sEleN
en,sEleN
e3...,sEle3
value,sValue
âDataCubeâ,sCube
â0:0:1:0â,sPattern
cube,sCube
element1,sEle1
elementN,sEleN
NewAttrName,sAttr
PrevAttrName,sAttrPref
AttrType,sAttrType
ChoreName,sChore
NumericValue,NumericValue
location,location
DimName1,sDim1
DimName2,sDim2
...,...
flag-value,nFlag
cube-name,sCube
element_1,sEle1
element_2,sEle2
â¦,sEleN
. . .,...
unique-along-dimension-name,sDimUniqueAlong
elem_1,sEle1
elem_2,sEle2
emptyParent,sEleEmpty
rootName,sEleRoot
CubeName,sCube
AttrName,sAttr
name-of-cube-as-string,sCube
d1,sDim1
d2,sDim2
...dn,sDimN
User,sUser
AddressDelimiter,sDelimiter
Address,sAddress
bForce,nForce
Index,nIndex
UserFilter,sFilter
Element-list,sList
IsCalculationRule,nIsCalcRule
RuleText,sRule
LogChanges,nLogChanges
ReturnFourDigitYear,nReturnFourDigitYear
SerialNumber,nSerial
month,sMonth
day,nDay
year,nYear
DateString,sDate
DateString',sDate
...e256,sEleN
e1,sEle1
e2,sEle2
start,nStart
DimName,sDim
DimensionName,sDim
LocalLangCode,sLocale
Subset,sSub
ConsolidatedElName,sElePar
ElWeight,nWeight
InsertionPoint,sElePrev
ElType,sType
CompSortSense,sCompSortSense
CompSortType,sCompSortType
ElSortSense,sEleSortSense
ElSortType,sEleSortType
server_name:dimension,sDim
index,nIndex
position,nPos
hierarchy,sHier
element2,sEle2
Group,sGroup
Level,sLevel
Wait,nWait
CommandLine,sCommand
'OptionalParameter1',sParam1
'OptionalParameter2',sParam2
JavaTIClass',sClass
ParamName1,sParam1
ParamName2,sParam2
ParamValue1,sValue1
ParamValue2,sValue2
File,sFile
length,nLength
Date,nDate
<Index>,nIndex
<Pattern>,sPattern
interest,nInterst
periods,nPeriods
payment,nPayment
HierarchyName,sHier
ElemName,sEle
HierName,sHier
AliasName,sAlias
Hierarchy,sHier
Dimension,sDim
SubName,sSub
AsTemporary,nTemporary
SubsetName,sSub
ElementName,sEle
StartIndex,nIndex
Position,nPos
ElementIndex,nIndex
MDX_expression,sMDX
string1,sString1
string2,sString2
ErrorString,sMessage
MessageString',sMessage
SeverityLevel',sSeverity
num1,nValue1
num2,nValue2
divisor,nDivisor
number,nValue
date,nDate
<UseUNIXTime>,nUseUnixTime
<FormatterStyle>,sFormatterStyle
<FormatterType>,sFormatterType
Locale,sLocale
<TimeType>,sTimeType
<TimeZone>,sTimeZone
Value,sValue
NumericFormat,NumericFormat
DecimalSep,sSep
ThousandsSep,sSep
Source,sDatasource
ClientName,sClient
Password,sPassword
UseUnicodeODBC,nUseUnicode
SQLQuery,sQuery1
SQLQuery2,sQuery2
SQLQuery3,sQuery3
principal,nPrincipal
ProcessName,sProcess
OverwriteExistingSubset,nOverwrite
PublishPrivateSubsets,nValue
OverwriteExistingView,nOverwrite
View,sView
dimensionName,sDim
RemoveCAMID,sCAMID
decimal,nDecimal
TextFile,sFile
substring,sSubstring
DimensionMap,sMap
bLock,nLock
SandboxName,sSandbox
newSandboxName,sSandboxNew
sandboxName,sSandbox
#',#'
|',|'
client|=|Admin# name|=|best::case::scenario',sPattern
sandboxname,sSandbox
conflictRes,conflictRes
waitForLocks,nWait
src,sSandboxSrc
tgt,sSandboxTarget
SaveData,nSave
Flag,nFlag
securityLevel,sLevel
CharacterSet,sCharSet
Num,Num
PropertyValue,nValue
String,sString
MDX_Expression,sMDX
ExpandAboveFlag,nExpandAbove
FormatName,sFormat
beginning,nStart
lockName,sLock
format,sFormat
datetime,nDate
ExtendedYears,nExtendedYears
type,sType
<ReturnFourDigitYear>,nReturnFourDigitYear
cube-name',sCube
ViewName,sView
StackPosition,nPos
<AsTemporary>,nTemporary
Temporary,nTemporary
FilterByTitles,sFilter
logical expression,logical expression
PriorFilename,sFilePrior
Pathname,sPath
location,nLocation
'JavaTIClass',sClass
